"MOVIEID","TITLE","YEAR","ADULT_FLAG","IMDBRATINGS","ROTTENTOMATOESRATINGS"
"tt2980210","A Hologram for the King",2016,"Adult",61,67
"tt2990126","100 Streets",2016,"Adult",58,57
"tt2990140","The Christmas Chronicles",2018,"Non-Adult",70,84
"tt3009772","Ode to Joy",2019,"Adult",64,61
"tt3014078","Shangri-La Suite",2016,"Non-Adult",52,49
"tt3016748","Jacob's Ladder",2019,"Adult",36,51
"tt3018070","Stonewall",2015,"Adult",54,57
"tt30216076","Chhota Bheem Ka Roosi Romanch",2019,"Non-Adult",78,12
"tt3038708","Iron Sky: The Coming Race",2019,"Adult",50,58
"tt3053228","Day of the Dead: Bloodline",2017,"Adult",35,52
"tt3065204","The Conjuring 2",2016,"Adult",73,81
"tt3068194","Love & Friendship",2016,"Non-Adult",64,65
"tt3072482","Hardcore Henry",2015,"Adult",67,73
"tt3074546","Casual Encounters",2016,"Adult",44,45
"tt3077214","Suffragette",2015,"Non-Adult",69,69
"tt3082854","The Commune",2016,"Adult",64,59
"tt3083008","The Program",2015,"Non-Adult",65,65
"tt3089630","Artemis Fowl",2020,"Non-Adult",43,60
"tt3095734","Monster Trucks",2016,"Non-Adult",57,65
"tt3100274","Manhattan Night",2016,"Adult",62,62
"tt3111426","Lost Girls",2020,"Adult",62,65
"tt3120280","Sierra Burgess Is a Loser",2018,"Non-Adult",57,64
"tt3120960","A Hitman in London",2015,"Adult",39,47
"tt3131050","Delirium",2018,"Adult",34,62
"tt3148502","Tamasha",2015,"Non-Adult",74,64
"tt3155328","Win It All",2017,"Adult",62,72
"tt3155342","All Together Now",2020,"Non-Adult",65,59
"tt3164256","Rock the Kasbah",2015,"Adult",55,58
"tt3174376","Before I Wake",2016,"Non-Adult",62,78
"tt3183402","Veronica",2017,"Adult",59,81
"tt3201640","Extinction",2018,"Adult",58,74
"tt3203528","Bad Samaritan",2018,"Adult",65,67
"tt3203606","Trumbo",2015,"Adult",74,75
"tt3203620","The Dinner",2017,"Adult",45,54
"tt3208026","Black '47",2018,"Adult",68,64
"tt3216348","Incarnate",2016,"Non-Adult",53,61
"tt3228088","Spark: A Space Tail",2016,"Non-Adult",44,48
"tt3233418","Spare Parts",2015,"Non-Adult",72,66
"tt3234084","I Do... Until I Don't",2017,"Adult",44,52
"tt3236120","I'll See You in My Dreams",2015,"Non-Adult",67,60
"tt3255590","El Camino Christmas",2017,"Adult",57,59
"tt3256226","IO",2019,"Non-Adult",48,59
"tt3260524","A Secret Love",2020,"Adult",78,87
"tt3268340","Crown Heights",2017,"Adult",67,56
"tt3278540","A Nice Girl Like You",2020,"Adult",52,56
"tt3282076","Domino",2019,"Adult",45,55
"tt3292080","The Journey Is the Destination",2016,"Adult",64,49
"tt3311020","Be Afraid",2017,"Non-Adult",48,52
"tt3316948","American Ultra",2015,"Adult",61,72
"tt3317234","Game Over, Man!",2018,"Adult",55,63
"tt3317696","There Is Many Like Us",2015,"Non-Adult",78,47
"tt3319920","Regression",2015,"Adult",56,64
"tt3322892","XX",2017,"Adult",46,57
"tt3322898","Baby Steps",2015,"Adult",59,46
"tt3332064","Pan",2015,"Non-Adult",57,66
"tt3335606","Berlin Syndrome",2017,"Adult",63,67
"tt3340446","Storm Boy",2019,"Non-Adult",69,59
"tt3349578","Bad Kids of Crestview Academy",2017,"Adult",47,51
"tt3375972","The Price of Fame",2017,"Non-Adult",55,45
"tt3379352","Mully",2015,"Non-Adult",83,51
