movie_id,title,year,genres,imdb_rating
tt0783640,The Last Full Measure,2019,"Drama,War",6.8
tt0787524,The Man Who Knew Infinity,2015,"Biography,Drama",7.2
tt0790770,Miles Ahead,2015,"Biography,Drama,Music",6.4
tt0800325,The Dirt,2019,"Biography,Comedy,Drama",7.0
tt0803096,Warcraft,2016,"Action,Adventure,Fantasy",6.7
tt0805647,The Witches,2020,"Adventure,Family,Fantasy",5.4
tt0810819,The Danish Girl,2015,"Biography,Drama",7.1
tt0810836,Dirt Music,2019,"Crime,Drama,Romance",5.4
tt0821486,Manhattan Minutiae,2016,"Comedy,Music,Romance",6.4
tt0825283,Maximum Ride,2016,"Action,Adventure,Comedy",3.6
tt0825334,Caravaggio and My Mother the Pope,2017,"Comedy,Drama",8.4
tt0835802,Krystal,2017,"Comedy,Drama",5.5
tt0837156,Pee-wee's Big Holiday,2016,"Comedy,Family",6.1
tt0837563,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7
tt0838194,Retreat!,2016,"Comedy,Drama,War",8.0
tt0848554,The Sighting,2016,"Horror,Mystery,Sci-Fi",3.7
tt0850247,Amsteroid,2018,Sci-Fi,7.0
tt0850678,Jackson Arms,2015,Romance,7.1
tt0858419,Bolden,2019,Drama,5.6
tt0859635,Super Troopers 2,2018,"Comedy,Crime,Mystery",6.0
tt0884732,The Wedding Ringer,2015,"Comedy,Romance",6.6
tt0906327,The Unlikely's,2016,Comedy,7.1
tt0918940,The Legend of Tarzan,2016,"Action,Adventure,Drama",6.2
tt0920462,Lost Girls and Love Hotels,2020,"Drama,Thriller",4.7
tt0926132,Road to Red,2018,"Action,Adventure,Horror",3.5
tt0932667,The Man in the Silo,2016,Drama,4.9
tt0937225,Joe Dick,2017,Comedy,5.3
tt0972544,Back Roads,2018,"Crime,Drama,Thriller",6.3
tt0974015,Justice League,2017,"Action,Adventure,Fantasy",6.0
tt0983946,Fantasy Island,2020,"Fantasy,Horror,Mystery",4.9
tt0995868,Pele: Birth of a Legend,2016,"Biography,Drama,Sport",7.1
tt10003008,The Rental,2020,"Drama,Horror,Mystery",5.7
tt10003978,Fiddler: A Miracle of Miracles,2019,Documentary,7.6
tt10003994,Seeds,2020,Horror,6.8
tt10004108,Sacrifice,2020,"Horror,Mystery,Thriller",4.7
tt10004368,I Never Cry,2020,"Comedy,Drama",7.0
tt10004372,Soccer in the City,2019,Documentary,9.3
tt10004396,When I Became a Butterfly,2018,"Drama,Thriller",5.1
tt10004574,Paradise,2019,"Drama,Thriller",4.5
tt10004944,Aporia,2019,"Action,Adventure,Horror",3.8
tt10005184,Down the River,2018,"Adventure,Drama",7.4
tt10005378,"In Their Own Words, Billy the Kid & The Lincoln County War",2019,"Drama,Western",4.0
tt10006006,A Christmas Prince: The Royal Baby,2019,"Family,Romance",5.4
tt10006160,Kala azar,2020,"Drama,Fantasy",4.8
tt10006270,Hunting Season,2019,"Comedy,Drama",4.9
tt10007820,On the Trail of Bigfoot,2019,Documentary,6.2
tt10007978,Terror in the Skies,2019,Documentary,5.9
tt10008784,Bull,2019,Drama,6.3
tt10008996,Troublemaker,2019,Documentary,8.5
tt10009030,Snatchers,2019,"Comedy,Horror,Sci-Fi",5.8
tt10009098,Willie,2019,"Documentary,Sport",7.8
tt10009434,Family Obligations,2019,"Comedy,Drama",5.4
tt10009602,My Name Is Daniel,2018,Documentary,7.1
tt10009878,Encrypted: The Cyber Crime,2019,Drama,5.4
tt10010368,The Australian Dream,2019,"Documentary,Drama,Sport",8.0
tt10010748,Mossville: When Great Trees Fall,2019,Documentary,8.6
tt10010814,Turtle,2018,Drama,6.7
tt10011146,Blood of Hatred,2016,"Crime,Drama",7.7
tt10011226,17 Blocks,2019,Documentary,7.3
tt10011228,Hunted,2020,"Action,Horror,Thriller",5.4
tt10011232,Leftover Women,2019,Documentary,7.3
tt10011244,My Neighbor Wants Me Dead,2019,"Comedy,Fantasy,Horror",4.6
tt10011252,Watson,2019,"Biography,Documentary",8.3
tt10011264,A Woman's Work: The NFL's Cheerleader Problem,2019,"Documentary,Music,Sport",6.9
tt10011270,The Dominican Dream,2019,"Biography,Documentary,Sport",7.5
tt10011284,Lil' Buck: Real Swan,2019,Documentary,7.4
tt10011296,Nomad: In the Footsteps of Bruce Chatwin,2019,"Biography,Documentary",6.9
tt10011302,The Emoji Story,2019,"Comedy,Documentary",6.1
tt10011312,All I Can Say,2019,"Documentary,Music",7.5
tt10011320,Changing the Game,2019,"Documentary,Drama,Sport",6.4
tt10011336,Lucky Grandma,2019,"Comedy,Crime,Drama",6.3
tt10011342,The Rest,2019,Documentary,6.7
tt10011362,"Red, White & Wasted",2019,Documentary,6.2
tt10011402,Martha: A Picture Story,2019,"Biography,Documentary",7.7
tt10011412,You Don't Nomi,2019,Documentary,6.7
tt10011448,Linda Ronstadt: The Sound of My Voice,2019,"Biography,Documentary,Music",8.0
tt10011480,The Remix: Hip Hop X Fashion,2019,"Documentary,Music",7.6
tt10011500,Slay the Dragon,2019,Documentary,7.3
